timestamp,steering_angle,throttle,speed
01:53.762,0.1553420126438141,0.09782942534297887,15.1732
01:53.913,0.12654539942741394,0.10998852412759605,15.1376
01:54.341,0.15885435044765472,0.17048250412163696,14.8555
01:54.481,0.15016359090805054,0.16302063750551188,14.8034
01:54.604,0.18373903632164001,0.17040036498342678,14.7461
01:54.732,0.1846543550491333,0.1339086407920081,14.8939
01:54.863,0.26089945435523987,0.16617678529785743,14.7413
01:55.102,0.25393468141555786,0.15243100388878666,14.7833
01:55.355,0.26354438066482544,0.09020835999452606,15.1027
01:55.629,0.31738173961639404,0.14746135218624157,14.8526
01:55.914,0.3562813103199005,0.12590715184083714,14.9536
01:56.152,0.38438135385513306,0.07286777296900562,15.2668
01:56.386,0.4192608594894409,0.11450476080799118,15.1174
01:56.627,0.3584248721599579,0.10519988856349348,15.1839
01:56.872,0.3269764482975006,0.115005216167825,15.1575
01:57.115,0.3318277895450592,0.19168569272476535,14.7522
01:57.329,0.26751893758773804,0.18516178009184497,14.7009
01:57.522,0.1984236091375351,0.1428009373091748,14.862
01:57.708,0.19224846363067627,0.14713772201121336,14.8318
01:57.857,0.19105452299118042,0.11067518789520235,15.0056
01:58.003,0.1593312919139862,0.0900375512511549,15.1282
01:58.158,0.12895317375659943,0.13230453445281462,14.959
01:58.307,0.11876437067985535,0.08404616187631167,15.1981
01:58.452,0.1052413210272789,0.14153695238147007,14.9573
01:58.592,0.0917951911687851,0.15436587779895744,14.8846
01:58.734,0.07761626690626144,0.10234520906966148,15.1177
01:58.912,0.0845719426870346,0.12468333461027545,15.0327
01:59.082,0.08887703716754913,0.16399454090560983,14.8385
01:59.233,0.0365823432803154,0.10125387199968852,15.1202
01:59.373,0.06423036009073257,0.16631770694497172,14.8267
01:59.524,0.02147780917584896,0.1615358343675826,14.8208
01:59.677,0.08551374077796936,0.14225714159374062,14.8904
01:59.825,0.030237579718232155,0.1066416761416222,15.0582
01:59.990,0.01793377660214901,0.14299960343690882,14.9033
02:00.239,0.04326026886701584,0.1284707399372255,14.9669
02:00.467,0.04951096326112747,0.12676388842835054,14.9831
02:00.699,0.04444241523742676,0.0966471940152345,15.1512
02:00.932,0.07654073089361191,0.09618393552487842,15.199
02:01.157,0.08643396198749542,0.10389603343393695,15.1971
02:01.382,0.06877119839191437,0.15122546079453916,14.9711
02:01.618,0.08299829065799713,0.1638022525906219,14.8707
02:01.857,0.10408833622932434,0.1287158465516578,15.0131
02:02.116,0.09727774560451508,0.14211035115295362,14.9423
02:02.317,0.10726979374885559,0.1667239048351247,14.7915
02:02.491,0.09471850097179413,0.13986582404103814,14.8934
02:02.663,0.02413536049425602,0.0968938291514244,15.1046
02:02.829,0.050515495240688324,0.14106884096371639,14.9187
02:03.004,0.04633725434541702,0.07554478719338845,15.2395
02:03.160,-0.0016788635402917862,0.1304264991910761,15.0182
02:03.323,0.001318974420428276,0.14492519268955156,14.9455
02:03.475,-0.05013378709554672,0.09484842971191174,15.1787
02:03.623,-0.06294437497854233,0.1656059224921173,14.86
02:03.767,-0.06526961177587509,0.15890330642713688,14.8616
02:03.917,-0.09508614242076874,0.14769606986530154,14.893
02:04.068,-0.07800672948360443,0.1111228041882353,15.0601
02:04.217,-0.04384693503379822,0.14716752429420754,14.9017
02:04.358,-0.05255669355392456,0.1334545246890435,14.9559
02:04.499,-0.03385248780250549,0.1267506729615445,14.9877
02:04.658,-0.018659653142094612,0.09125281723902871,15.1655
02:04.799,-0.007223149761557579,0.13629026090511617,14.979
02:04.944,-0.0012116748839616776,0.08936567280075006,15.2011
02:05.121,-0.014297561720013618,0.09697213568719816,15.1979
